learner_0,learner_1,learner_2,learner_3,positive,learner_0-positive,learner_1-positive,learner_2-positive,learner_3-positive,h1,h2,h1-positive,h2-positive,count
0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,0,1,1,1,1,0,1,1,3,1,3,1,13
0,0,1,1,1,0,0,1,1,1,0,1,0,0
0,1,1,0,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,1,0,0,1,1,0,1,0,0
1,1,1,0,1,1,1,1,0,3,1,3,1,1
1,1,0,0,1,1,1,0,0,1,0,1,0,1
1,0,1,0,1,1,0,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,6,4,6,4,82
0,1,0,1,1,0,1,0,1,1,0,1,0,0
0,1,1,1,1,0,1,1,1,3,1,3,1,3
1,1,0,1,1,1,1,0,1,3,1,3,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,15
1,0,1,1,0,0,0,0,0,3,1,0,0,63
0,0,1,1,0,0,0,0,0,1,0,0,0,19
0,1,1,0,0,0,0,0,0,1,0,0,0,2
1,0,0,1,0,0,0,0,0,1,0,0,0,9
1,1,1,0,0,0,0,0,0,3,1,0,0,2
1,1,0,0,0,0,0,0,0,1,0,0,0,10
1,0,1,0,0,0,0,0,0,1,0,0,0,5
0,0,0,1,0,0,0,0,0,0,0,0,0,38
0,1,0,0,0,0,0,0,0,0,0,0,0,89
1,1,1,1,0,0,0,0,0,6,4,0,0,71
0,1,0,1,0,0,0,0,0,1,0,0,0,3
0,1,1,1,0,0,0,0,0,3,1,0,0,5
1,1,0,1,0,0,0,0,0,3,1,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,42
