learner_0,learner_1,learner_2,learner_3,positive,learner_0-positive,learner_1-positive,learner_2-positive,learner_3-positive,h1,h2,h1-positive,h2-positive,count
0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,0,1,1,1,1,0,1,1,3,1,3,1,23
0,0,1,1,1,0,0,1,1,1,0,1,0,3
0,1,1,0,1,0,1,1,0,1,0,1,0,1
1,0,0,1,1,1,0,0,1,1,0,1,0,8
1,1,1,0,1,1,1,1,0,3,1,3,1,3
1,1,0,0,1,1,1,0,0,1,0,1,0,1
1,0,1,0,1,1,0,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1,0,0,0,0,2
0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,6,4,6,4,54
0,1,0,1,1,0,1,0,1,1,0,1,0,0
0,1,1,1,1,0,1,1,1,3,1,3,1,1
1,1,0,1,1,1,1,0,1,3,1,3,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,14
1,0,1,1,0,0,0,0,0,3,1,0,0,37
0,0,1,1,0,0,0,0,0,1,0,0,0,14
0,1,1,0,0,0,0,0,0,1,0,0,0,2
1,0,0,1,0,0,0,0,0,1,0,0,0,9
1,1,1,0,0,0,0,0,0,3,1,0,0,2
1,1,0,0,0,0,0,0,0,1,0,0,0,3
1,0,1,0,0,0,0,0,0,1,0,0,0,6
0,0,0,1,0,0,0,0,0,0,0,0,0,32
0,1,0,0,0,0,0,0,0,0,0,0,0,78
1,1,1,1,0,0,0,0,0,6,4,0,0,34
0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,0,0,3,1,0,0,3
1,1,0,1,0,0,0,0,0,3,1,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,16
