learner_0,learner_1,learner_2,learner_3,positive,learner_0-positive,learner_1-positive,learner_2-positive,learner_3-positive,h1,h2,h1-positive,h2-positive,count
0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,0,1,1,1,1,0,1,1,3,1,3,1,11
0,0,1,1,1,0,0,1,1,1,0,1,0,0
0,1,1,0,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,1,0,0,1,1,0,1,0,0
1,1,1,0,1,1,1,1,0,3,1,3,1,1
1,1,0,0,1,1,1,0,0,1,0,1,0,1
1,0,1,0,1,1,0,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,6,4,6,4,84
0,1,0,1,1,0,1,0,1,1,0,1,0,0
0,1,1,1,1,0,1,1,1,3,1,3,1,3
1,1,0,1,1,1,1,0,1,3,1,3,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,16
1,0,1,1,0,0,0,0,0,3,1,0,0,66
0,0,1,1,0,0,0,0,0,1,0,0,0,20
0,1,1,0,0,0,0,0,0,1,0,0,0,4
1,0,0,1,0,0,0,0,0,1,0,0,0,10
1,1,1,0,0,0,0,0,0,3,1,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,10
1,0,1,0,0,0,0,0,0,1,0,0,0,4
0,0,0,1,0,0,0,0,0,0,0,0,0,40
0,1,0,0,0,0,0,0,0,0,0,0,0,87
1,1,1,1,0,0,0,0,0,6,4,0,0,76
0,1,0,1,0,0,0,0,0,1,0,0,0,3
0,1,1,1,0,0,0,0,0,3,1,0,0,5
1,1,0,1,0,0,0,0,0,3,1,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,43
